xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded
t_n125	0.414420248311988	0.0191726035510325	-1.23185667217237	14.0127748432044	ST(0.414420248311988,0.0191726035510325,-1.23185667217237,14.0127748432044)	ST(0.414,0.019,-1.232,14.013)
t_n126	0.198597628642679	0.0228267386048162	-1.61018276347144	45.2613019620204	ST(0.198597628642679,0.0228267386048162,-1.61018276347144,45.2613019620204)	ST(0.199,0.023,-1.61,45.261)
t_n127	0.190357341435309	0.0212588157096635	-1.50438940009319	21.4361363030921	ST(0.190357341435309,0.0212588157096635,-1.50438940009319,21.4361363030921)	ST(0.19,0.021,-1.504,21.436)
t_n128	0.174685378375484	0.0206167307222497	-1.50912220125762	53.0154292960726	ST(0.174685378375484,0.0206167307222497,-1.50912220125762,53.0154292960726)	ST(0.175,0.021,-1.509,53.015)
t_n129	0.312773844260159	0.0165318734664667	-1.18006907305606	17.7955728349433	ST(0.312773844260159,0.0165318734664667,-1.18006907305606,17.7955728349433)	ST(0.313,0.017,-1.18,17.796)
t_n130	0.185929467195726	0.0118115761734981	-0.511879923978533	33.4473655541431	ST(0.185929467195726,0.0118115761734981,-0.511879923978533,33.4473655541431)	ST(0.186,0.012,-0.512,33.447)
t_n131	0.136711394435836	0.00935319426509543	-0.0794305120214291	48.3759704564383	ST(0.136711394435836,0.00935319426509543,-0.0794305120214291,48.3759704564383)	ST(0.137,0.009,-0.079,48.376)
t_n132	0.102183762439561	0.00791749642341691	0.255651534669657	57.6826837787689	ST(0.102183762439561,0.00791749642341691,0.255651534669657,57.6826837787689)	ST(0.102,0.008,0.256,57.683)
t_n133	0.0851271978563436	0.00750471705605874	0.602841530435413	51.1113833614497	ST(0.0851271978563436,0.00750471705605874,0.602841530435413,51.1113833614497)	ST(0.085,0.008,0.603,51.111)
t_n134	0.07298297774418	0.00605059217185041	0.219852642327462	45.7717674810069	ST(0.07298297774418,0.00605059217185041,0.219852642327462,45.7717674810069)	ST(0.073,0.006,0.22,45.772)
t_n135	0.0536448772335669	0.00611370959553343	1.01714272478606	92.7372711442344	ST(0.0536448772335669,0.00611370959553343,1.01714272478606,92.7372711442344)	ST(0.054,0.006,1.017,92.737)
t_n136	0.0391304008494819	0.00489132768990006	1.14420783200454	81.6978817827681	ST(0.0391304008494819,0.00489132768990006,1.14420783200454,81.6978817827681)	ST(0.039,0.005,1.144,81.698)
t_n137	0.126407467926039	0.0106904626119068	0.73175145176975	58.6285020849064	ST(0.126407467926039,0.0106904626119068,0.73175145176975,58.6285020849064)	ST(0.126,0.011,0.732,58.629)
