Parsing alignment laurasiatheria_therest_nt12cp ... ... 
Length alignment: 198006
Number of taxa: 659
Taxon: crocidura_sicula | Num gaps: 197426 | Missing taxon?: N | % Missing data: 99.707079583447
Taxon: crocidura_silacea | Num gaps: 197424 | Missing taxon?: N | % Missing data: 99.7060695130451
Taxon: crocidura_sokolovi | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_somalica | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_suaveolens | Num gaps: 197442 | Missing taxon?: N | % Missing data: 99.7151601466622
Taxon: crocidura_suaveolens_gueldenstaedtii | Num gaps: 197110 | Missing taxon?: N | % Missing data: 99.5474884599457
Taxon: crocidura_suaveolens_mimula | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_tanakae | Num gaps: 196946 | Missing taxon?: N | % Missing data: 99.4646626869893
Taxon: crocidura_tansaniana | Num gaps: 197348 | Missing taxon?: N | % Missing data: 99.6676868377726
Taxon: crocidura_tarfayensis | Num gaps: 197494 | Missing taxon?: N | % Missing data: 99.7414219771118
Taxon: crocidura_theresae | Num gaps: 197438 | Missing taxon?: N | % Missing data: 99.7131400058584
Taxon: crocidura_usambarae | Num gaps: 197346 | Missing taxon?: N | % Missing data: 99.6666767673707
Taxon: crocidura_viaria | Num gaps: 197418 | Missing taxon?: N | % Missing data: 99.7030393018393
Taxon: crocidura_watasei | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_wimmeri | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_wuchihensis | Num gaps: 196958 | Missing taxon?: N | % Missing data: 99.4707231094007
Taxon: crocidura_zaitsevi | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_zarudnyi | Num gaps: 197432 | Missing taxon?: N | % Missing data: 99.7101097946527
Taxon: crocidura_zimmermanni | Num gaps: 197458 | Missing taxon?: N | % Missing data: 99.7232407098775
Taxon: crocuta_crocuta | Num gaps: 183684 | Missing taxon?: N | % Missing data: 92.7668858519439
Taxon: crossarchus_alexandri | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crossarchus_obscurus | Num gaps: 197318 | Missing taxon?: N | % Missing data: 99.652535781744
Taxon: crossarchus_platycephalus | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptoprocta_ferox | Num gaps: 193024 | Missing taxon?: N | % Missing data: 97.4839146288496
Taxon: cryptotis_alticola | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptotis_goldmani | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptotis_magna | Num gaps: 197510 | Missing taxon?: N | % Missing data: 99.7495025403271
Taxon: cryptotis_mayensis | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptotis_mexicana | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptotis_nelsoni | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptotis_obscura | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptotis_parva | Num gaps: 197508 | Missing taxon?: N | % Missing data: 99.7484924699252
Taxon: cryptotis_peregrina | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptotis_phillipsii | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cuon_alpinus | Num gaps: 195526 | Missing taxon?: N | % Missing data: 98.7475127016353
Taxon: cuon_alpinus_lepturus | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cynictis_penicillata | Num gaps: 197322 | Missing taxon?: N | % Missing data: 99.6545559225478
Taxon: cynogale_bennettii | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: cystophora_cristata | Num gaps: 193104 | Missing taxon?: N | % Missing data: 97.5243174449259
Taxon: desmana_moschata | Num gaps: 196670 | Missing taxon?: N | % Missing data: 99.3252729715261
Taxon: dicerorhinus_sumatrensis | Num gaps: 196602 | Missing taxon?: N | % Missing data: 99.2909305778613
Taxon: dicerorhinus_sumatrensis_harrissoni | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: diceros_bicornis | Num gaps: 187836 | Missing taxon?: N | % Missing data: 94.8637920063028
Taxon: diceros_bicornis_michaeli | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: diceros_bicornis_minor | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: diplomesodon_pulchellum | Num gaps: 197446 | Missing taxon?: N | % Missing data: 99.717180287466
Taxon: dusicyon_australis | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: dusicyon_avus | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: dymecodon_pilirostris | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: echinosorex_gymnura | Num gaps: 197030 | Missing taxon?: N | % Missing data: 99.5070856438694
Taxon: eira_barbara~ | Num gaps: 195072 | Missing taxon?: N | % Missing data: 98.5182267204024
Taxon: enhydra_lutris | Num gaps: 191866 | Missing taxon?: N | % Missing data: 96.8990838661455
Taxon: enhydra_lutris_kenyoni | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: episoriculus_caudatus | Num gaps: 197054 | Missing taxon?: N | % Missing data: 99.5192064886923
Taxon: episoriculus_caudatus_soluensis | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: episoriculus_fumidus~ | Num gaps: 197040 | Missing taxon?: N | % Missing data: 99.5121359958789
Taxon: episoriculus_leucops | Num gaps: 197050 | Missing taxon?: N | % Missing data: 99.5171863478885
Taxon: episoriculus_macrurus | Num gaps: 197050 | Missing taxon?: N | % Missing data: 99.5171863478885
Taxon: equus_asinus | Num gaps: 192326 | Missing taxon?: N | % Missing data: 97.1314000585841
Taxon: equus_asinus_africanus | Num gaps: 197642 | Missing taxon?: N | % Missing data: 99.8161671868529
Taxon: equus_asinus_somalicus | Num gaps: 195058 | Missing taxon?: N | % Missing data: 98.5111562275891
Taxon: equus_burchellii | Num gaps: 196386 | Missing taxon?: N | % Missing data: 99.1818429744553
Taxon: equus_burchellii_antiquorum~ | Num gaps: 195832 | Missing taxon?: N | % Missing data: 98.9020534731271
Taxon: equus_burchellii_chapmani | Num gaps: 196320 | Missing taxon?: N | % Missing data: 99.1485106511924
Taxon: equus_burchellii_cuninghamei~ | Num gaps: 194226 | Missing taxon?: N | % Missing data: 98.0909669403957
Taxon: equus_caballus | Num gaps: 23768 | Missing taxon?: N | % Missing data: 12.0036766562629
Taxon: equus_grevyi | Num gaps: 193016 | Missing taxon?: N | % Missing data: 97.479874347242
Taxon: equus_hemionus | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
